평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
15.6,0.0,2.0,36.6,5.5,1015.8,23.21,0.0,0.0,6.1,1
15.3,0.0,1.3,36.0,5.3,1001.7,23.15,0.0,0.9,5.5,2
16.9,0.0,1.3,25.6,4.6,1002.1,21.82,0.0,0.1,5.2,2
15.7,0.0,1.4,38.1,5.7,1007.3,20.62,0.0,2.8,5.3,1
16.9,0.0,0.9,28.1,4.7,1007.5,23.41,0.0,1.9,5.6,1
16.2,0.0,1.6,38.0,6.3,1008.6,21.86,0.0,1.6,5.3,1
16.3,0.0,0.7,28.8,4.5,1009.7,24.83,0.0,0.8,6.1,1
14.1,0.0,1.2,34.6,5.1,1007.5,21.94,0.0,0.1,4.7,1
16.3,0.0,0.7,28.8,4.5,1009.7,24.83,0.0,0.8,6.1,1
14.4,0.0,0.7,34.3,5.0,1000.4,22.6,0.0,0.0,4.6,2
20.6,0.0,2.9,18.4,4.3,1013.4,22.15,0.0,1.8,7.4,2
11.1,0.0,1.9,52.9,6.6,1011.6,22.78,0.0,1.6,4.1,1
6.2,0.0,1.0,52.9,4.6,1005.7,17.37,0.0,1.3,2.8,1
4.6,0.0,1.2,45.9,3.4,1003.5,21.76,0.0,0.0,3.6,1
8.1,0.0,4.2,29.6,3.1,1009.8,23.41,0.0,0.9,5.2,2
10.8,0.0,2.9,60.4,7.6,1006.5,12.73,0.0,7.0,2.7,1
15.5,0.1,1.2,59.8,10.9,998.6,19.54,0.0,5.4,3.1,2
14.1,0.0,2.2,50.6,8.0,1001.7,12.64,0.0,8.0,3.2,1
17.7,0.0,0.8,39.9,8.1,1002.2,19.5,0.0,4.5,3.8,2
8.8,0.0,0.8,52.1,5.3,1009.5,20.21,0.0,0.8,3.5,1
14.1,0.0,0.6,30.8,4.5,1004.6,22.34,0.0,1.1,3.9,2
14.3,0.0,1.9,53.6,8.6,1002.6,18.48,0.0,7.3,3.4,2
11.7,0.0,0.6,36.9,4.5,994.5,20.7,0.0,0.8,3.9,1
13.0,0.0,3.2,51.6,7.8,1006.7,21.02,0.0,4.5,3.8,1
6.7,0.0,1.7,65.1,6.0,1007.8,19.69,0.0,5.4,3.2,1
10.2,0.0,3.1,63.5,7.8,1013.2,11.45,0.0,9.1,2.2,1
10.6,0.0,1.2,43.4,4.9,1021.7,20.12,0.0,5.1,3.8,2
7.5,0.0,2.3,24.4,2.4,1014.9,15.67,0.0,8.0,3.3,2
12.2,0.0,3.5,62.1,8.7,1015.4,18.49,0.0,4.4,3.2,1
6.6,0.0,2.3,61.4,5.8,1015.1,14.88,0.0,4.4,2.5,1
16.7,0.0,1.2,44.6,7.7,1015.4,15.62,0.0,4.1,3.3,1
10.8,0.0,1.4,72.6,8.7,1018.5,14.71,0.0,5.6,2.5,1
15.2,0.0,2.4,52.0,8.3,1010.8,16.95,0.0,5.9,4.3,1
16.5,0.0,1.0,37.0,6.2,1014.1,17.03,0.0,5.1,3.8,2
15.2,0.0,0.3,41.6,6.4,1011.9,17.68,0.0,0.0,3.7,2
13.4,0.0,0.9,42.9,5.9,1007.4,18.04,0.0,0.5,3.2,2
